ER66001,ER66002,ER67883,ER70882,ER71485,ER71570,ER71571
2,8711,0,1,90000,42.89,28241.384
2,509,0,1,650000,37.16,16406.427
2,944,0,9,387000,82.675,36511.016
2,1013,0,1,277000,26.953,21463.95
2,402,0,1,360000,25.612,16172.238
2,1411,0,1,151360,89.698,51879.945
2,2329,0,1,265000,37.048,26271.069
2,2291,0,1,914000,40.951,31985.826
2,1292,0,1,100,60.14,55250.555
2,1353,0,1,27000,20.343,10855.475
2,1487,0,1,137000,42.658,25547.529
2,1422,0,1,138000,40.279,24122.765
2,1259,0,1,10000,18.614,5876.008
2,1490,0,1,967000,37.635,16713.101
2,1788,0,1,140500,19.34,9000.828
2,1283,0,2,-19693,16.53,6849.722
2,3397,0,1,36700,16.561,11867.164
2,2560,0,1,181000,31.774,18202.895
2,5789,0,1,-1141,48.413,16194.631
2,4536,0,1,-50320,55.727,32570.55
2,5015,0,1,17000,14.096,5803.518
2,8881,0,1,30000,17.35,10311.311
2,6714,0,1,25600,22.793,14080.998
2,7244,0,1,1167000,20.556,16558.41
2,1278,0,1,47500,62.312,30157.037
2,2118,0,1,72800,20.488,17748.481
2,2844,0,1,110000,8.791,13855.902
2,3145,0,1,23700,9.131,6363.151
2,3036,0,1,137000,4.488,2972.753
2,2543,0,1,24000,4.633,3739.673
2,3470,0,1,233000,12.818,6204.714
2,2546,0,1,8456,8.471,6595.111
2,2842,0,1,-41000,4.616,3742.002
2,3186,0,1,-10700,3.094,1635.91
2,145,0,1,70000,67.132,39769.507
2,64,0,1,4500,47.055,35791.328
2,149,0,1,-980,25.207,23344.473
2,194,0,1,56017,37.014,37188.194
2,119,0,1,-1600,36.128,32346.77
2,744,0,1,305000,69.85,47598.633
2,1011,0,1,390000,38.289,30700.376
2,1123,0,1,1035000,66.952,35265.575
2,2446,0,1,429000,36.499,27381.071
2,2206,0,1,2473000,31.195,24064.951
2,1380,0,1,466000,35.316,19528.5
2,1170,0,1,665000,36.672,20278.504
2,1827,0,1,128000,28.417,16256.659
2,1310,0,1,-21500,18.162,15213.784
2,2036,0,1,155500,15.085,6933.332
2,1116,0,1,150000,16.822,7731.944
2,4548,0,1,206000,44.763,25644.234
2,4316,0,1,603000,19.359,10754.679
2,6841,0,1,683000,19.285,9147.331
2,2667,0,1,31200,57.404,39193.935
2,3451,0,1,1553,58.517,41587.374
2,1209,0,1,945000,28.091,14474.13
2,1034,0,1,-59800,17.751,8420.887
2,1085,0,1,55500,17.324,13410.559
2,1921,0,1,20400,34.054,20226.809
2,1071,0,1,270000,30.722,20354.666
2,1094,0,1,103000,15.623,5639.703
2,7359,0,1,0,25.812,10518.585
2,3420,0,1,772000,31.929,18034.809
2,2616,0,1,2400,23.512,14079.319
2,2727,0,1,-1300,28.634,16747.826
2,2839,0,1,187000,20.872,10861.002
2,2577,0,1,13000,35.743,28100.233
2,3062,0,1,140,21.963,16204.485
2,2795,0,1,-49800,33.593,8943.752
2,2545,0,1,-5995,21.131,15590.628
2,3317,0,1,17000,18.421,14695.69
2,5244,0,1,321000,81.879,30869.796
2,5006,0,1,82000,31.001,19575.565
2,730,0,1,87000,29.554,10324.59
2,4127,0,1,203020,71.418,36353.512
2,6108,0,1,98000,53.329,17231.016
2,7221,0,1,1630000,20.719,12965.587
2,7358,0,1,138000,21.15,13235.827
2,7827,0,1,4000,10.79,6084.191
2,7689,0,1,41500,14.147,6257.553
2,3773,0,1,254500,20.567,13860.974
2,5943,0,1,200000,10.445,5471.775
2,9564,0,1,200000,13.78,7083.153
2,1975,0,1,63000,59.926,20522.287
2,2035,0,1,9000,35.205,22686.398
2,1526,0,1,25000,18.286,9596.692
2,8829,0,3,30700,21.981,14972.628
2,3778,0,1,52800,27.408,18304.247
2,4473,0,1,0,74.976,58116.401
2,6168,0,1,222500,10.119,5577.898
2,5751,0,1,3800,16.036,11831.604
2,8315,0,1,95400,5.898,4315.704
2,5881,0,1,387000,29.695,21057.275
2,4641,0,1,197000,28.606,18276.054
2,8138,0,1,146862,23.39,23699.632
2,9131,0,1,100100,31.373,27949.879
2,5431,0,1,6500,15.421,11736.023
2,5446,0,1,-86076,9.409,6355.139
2,9335,0,1,18200,3.668,1974.798
2,7194,0,1,6000,13.759,9381.124
2,4203,0,1,2700,11.828,9610.065
2,7503,0,1,130100,77.245,34371.82
2,7996,0,1,8000,16.717,13509.228
2,4474,0,1,14000,17.708,11601.163
2,4426,0,1,20000,34.238,22544.381
2,353,0,1,109600,27.346,5212.882
2,350,0,1,510000,27.992,12731.922
2,869,0,1,213000,12.733,7693.269
2,254,0,1,582000,7.377,4460.209
2,587,0,7,106000,13.863,7440.8
2,7789,0,1,242000,60.691,28677.303
2,5107,0,1,204000,10.098,7911.866
2,7589,0,1,8000,8.777,6794.11
2,9177,0,1,-36700,17.137,13473.393
2,7672,0,1,1530,70.276,35083.473
2,3988,0,1,258000,32.717,20539.067
2,9106,0,1,11000,34.018,25639.649
2,7035,0,1,263500,33.607,16267.227
2,9089,0,1,215000,16.75,8216.979
2,3899,0,1,148500,20.647,10997.514
2,4810,0,1,-58000,10.904,8128.284
2,231,0,1,375000,51.931,21806.497
2,825,0,1,-42000,31.908,22980.253
2,4552,0,1,168000,35.585,14906.551
2,7083,0,1,40000,13.769,14072.605
2,9136,0,1,4100,22.412,22279.28
2,6174,0,1,52785,5.243,5719.128
2,5706,0,1,11500,7.285,6733.87
2,6595,0,1,41800,29.072,21393.389
2,86,0,1,273000,77.456,63262.318
2,2126,0,2,250000,51.809,42330.756
2,1864,0,1,405000,64.203,29985.945
2,1537,0,1,4230,17.153,13047.772
2,1692,0,1,-3150,16.03,12848.468
2,1766,0,1,1049425,29.379,12399.719
2,1534,0,1,183800,14.521,7464.321
2,5390,0,1,555,31.609,13865.793
2,7645,0,1,16000,74.329,38740.407
2,8648,0,1,-700,23.03,10672.27
2,8468,0,1,4875,35.518,23690.684
2,8198,0,1,145600,19.852,10739.46
2,8111,0,1,-8600,8.044,4614.532
2,8253,0,1,3000,17.238,8206.287
2,8883,4000,1,-61200,14.649,8035.795
2,5568,0,1,270000,31.968,16472.081
2,5575,0,1,60500,17.937,9228.239
2,9347,0,1,310000,29.048,16062.241
2,7652,0,1,13000,6.126,2216.134
2,7103,0,2,41000,20.091,15785.355
2,7120,0,1,3234,16.359,7621.693
2,8659,0,1,6500,16.415,10542.615
2,4783,0,1,277000,86.107,31631.657
2,6625,0,1,294880,34.133,33930.373
2,2134,0,1,259000,36.555,26222.352
2,1740,0,1,277000,59.669,19959.875
2,4831,0,1,443000,34.784,17441.803
2,7437,0,1,1730000,11.068,10805.435
2,5509,0,1,1275000,16.331,10907.491
2,3959,15000,1,-22000,72.073,46663.829
2,5375,0,1,106000,31.944,33093.586
2,4650,0,1,404700,27.842,12124.6
2,8948,0,1,20020,28.999,21621.819
2,8990,0,1,14077843,29.947,18799.953
2,3126,0,1,248000,68.079,39251.423
2,3571,0,1,-170000,37.224,19615.598
2,376,0,4,535200,56.961,61622.876
2,5143,0,1,1225000,33.501,22036.673
2,7321,0,1,-36980,66.56,46763.374
2,9112,0,1,10000,18.409,11624.512
2,9001,0,1,100000,17.029,8753.551
2,3921,0,1,1075000,17.032,8360.842
2,5112,0,1,90500,16.45,10164.708
2,9170,0,1,-110500,9.178,8002.833
2,2553,0,1,531000,65.824,41017.688
2,2598,0,1,290000,30.31,24491.802
2,2602,0,1,43000,31.008,19314.002
2,2828,0,1,207000,35.645,31024.49
2,2713,0,1,-59955,16.175,11718.822
2,2905,0,1,15000,15.159,13218.736
2,3622,0,1,-33495,48.728,31400.734
2,3564,0,1,282000,25.262,15808.586
2,3587,0,1,17000,14.504,12647.573
2,3991,0,1,499500,34.482,23238.545
2,8064,0,1,-8000,23.636,12065.659
2,5138,0,1,413000,11.954,6132.246
2,6217,0,4,38000,32.424,55751.626
2,6455,0,1,1106,15.827,11098.484
2,5097,0,1,915000,29.069,15228.349
2,5974,0,1,-10970,8.032,6975.479
2,6127,0,1,-12600,15.752,10018.321
2,7484,0,1,-33000,18.201,11492.919
2,7033,0,1,157100,15.089,9527.991
2,4387,0,1,773000,11.923,7423.512
2,792,0,1,314000,41.495,19380.197
2,288,0,1,742000,44.061,24193.405
